year,pop_name,reg,popwgt.absolute.hy,popwgt.relative.hy
1999,White,South,-0.0191551960589035,0.978611963846327
1999,Black,South,0.269937832124768,1.30140334220412
1999,Native,South,-0.383539333593781,0.571753110329208
1999,Asian,South,-0.335897899264379,0.624947904927851
1999,Pacific,South,-0.492599329785619,0.44998045217955
1999,Hispanic,South,-0.387084154742244,0.567795084389484
2000,White,South,-0.021479386029173,0.972966938641724
2000,Black,South,0.27201449927801,1.34234612848505
2000,Native,South,-0.358148867918876,0.549248739759206
2000,Asian,South,-0.3014002041157,0.62067024633802
2000,Pacific,South,-0.445992452754033,0.438692459633019
2000,Hispanic,South,-0.378337873420146,0.523839697632157
2001,White,South,-0.01611579183365,0.979176459042961
2001,Black,South,0.229571093606896,1.29663345863612
2001,Native,South,-0.348659810154553,0.549489599284405
2001,Asian,South,-0.278676980610494,0.639915830421082
2001,Pacific,South,-0.437284756067132,0.434975512103623
2001,Hispanic,South,-0.380758716416794,0.50801395253199
2002,White,South,-0.0203895042252353,0.972169116257819
2002,Black,South,0.244450881887678,1.33366598811507
2002,Native,South,-0.295839592392937,0.596190411926161
2002,Asian,South,-0.24992296561908,0.658864829482363
2002,Pacific,South,-0.395628011474007,0.459983083901772
2002,Hispanic,South,-0.320337431018213,0.562751810811429
2003,White,South,-0.0130583954151458,0.97961000983019
2003,Black,South,0.183169616279899,1.28600961730897
2003,Native,South,-0.251947809827595,0.606596890171403
2003,Asian,South,-0.21537963284086,0.663696154329279
2003,Pacific,South,-0.337369779994873,0.473215025353889
2003,Hispanic,South,-0.258549367354779,0.596288909075303
2004,White,South,-0.0171722385654203,0.97265944881631
2004,Black,South,0.20629849142141,1.32845539865624
2004,Native,South,-0.257484853599327,0.590048915752113
2004,Asian,South,-0.199487883345878,0.682388020387339
2004,Pacific,South,-0.328633874154299,0.476769949195605
2004,Hispanic,South,-0.256805614512978,0.591130357227291
2005,White,South,-0.0195866028592153,0.972254451011221
2005,Black,South,0.243948615224381,1.34556723813228
2005,Native,South,-0.263192353907976,0.627172899695056
2005,Asian,South,-0.258706714532367,0.633527065751137
2005,Pacific,South,-0.369591484450115,0.476452414369472
2005,Hispanic,South,-0.287374984325048,0.592916813443799
2006,White,South,-0.0214192910709721,0.970052798970544
2006,Black,South,0.258851236028309,1.36191067091704
2006,Native,South,-0.307906652549059,0.569502912508156
2006,Asian,South,-0.251167889989926,0.648831734498147
2006,Pacific,South,-0.379023812723934,0.470071055247143
2006,Hispanic,South,-0.326620946131805,0.543337680886356
2007,White,South,-0.0228312067351916,0.968686241764119
2007,Black,South,0.273082784451978,1.37454210764644
2007,Native,South,-0.322444566506597,0.557756569016665
2007,Asian,South,-0.25776615141584,0.646465163210687
2007,Pacific,South,-0.385106127768814,0.471814156825923
2007,Hispanic,South,-0.337923680897646,0.536526449585452
2008,White,South,-0.0166001199483479,0.967285253113568
2008,Black,South,0.184109728938812,1.36283491928396
2008,Native,South,-0.218143664668911,0.570092577841144
2008,Asian,South,-0.151364797113043,0.701697274448783
2008,Pacific,South,-0.256257973938047,0.494978663943489
2008,Hispanic,South,-0.209741423649278,0.586651324952091
2009,White,South,-0.0082991481391233,0.974077919267031
2009,Black,South,0.100935909590298,1.31526956181454
2009,Native,South,-0.119834233158654,0.625702226970941
2009,Asian,South,-0.0956399713719973,0.701272104360137
2009,Pacific,South,-0.156638954792053,0.510744046981613
2009,Hispanic,South,-0.117342507316108,0.633485040022611
2010,White,South,-0.00840139819937735,0.967938292650638
2010,Black,South,0.0984625665699927,1.37575626334056
2010,Native,South,-0.0804949568415491,0.69281235240766
2010,Asian,South,-0.0878490557486979,0.66474738496013
2010,Pacific,South,-0.121503736900231,0.536313222882619
2010,Hispanic,South,-0.0934323044971669,0.643440397339263
2011,White,South,-0.00690322887123146,0.972680836915782
2011,Black,South,0.0868040713453644,1.34352252050352
2011,Native,South,-0.0800109910437086,0.683360735443349
2011,Asian,South,-0.0809967663208815,0.679459581930431
2011,Pacific,South,-0.118471901784472,0.531153715729249
2011,Hispanic,South,-0.0907568350984471,0.640834626040778
2012,White,South,-0.0030204093223897,0.98160469274877
2012,Black,South,0.0470708518791168,1.2866772978334
2012,Native,South,-0.0423390793443714,0.742140786184007
2012,Asian,South,-0.0531796890220797,0.676117832164542
2012,Pacific,South,-0.0744063109396771,0.546840575209529
2012,Hispanic,South,-0.0479501535687503,0.707967459541894
2013,White,South,-0.00265524113199261,0.98252894845884
2013,Black,South,0.0416768747648661,1.27422700647343
2013,Native,South,-0.0372942856864601,0.754609711499189
2013,Asian,South,-0.0460754194040768,0.696831290578462
2013,Pacific,South,-0.066835343877601,0.560234389416667
2013,Hispanic,South,-0.0372539964622417,0.754874807992458
2014,White,South,-0.00223324855232465,0.984621865019709
2014,Black,South,0.0403351354715266,1.27774748004819
2014,Native,South,-0.0391901677794096,0.730136760019545
2014,Asian,South,-0.0475115134567606,0.6728360279041
2014,Pacific,South,-0.0642404841379132,0.557640444793436
2014,Hispanic,South,-0.0372167869499348,0.743725447553493
2015,White,South,-0.00071930354136078,0.991995470219752
2015,Black,South,0.0202730221118241,1.22560157137934
2015,Native,South,-0.0217071380141518,0.758439347664668
2015,Asian,South,-0.0278028411404456,0.690605346578478
2015,Pacific,South,-0.0383668406099397,0.573047398522063
2015,Hispanic,South,-0.0199746452378607,0.777718816240133
2016,White,South,-0.000137438495543069,0.997889367425394
2016,Black,South,0.0109179927998309,1.16766678914505
2016,Native,South,-0.0100389605361729,0.84583244280212
2016,Asian,South,-0.0179938135800275,0.72367036663694
