year,pop_name,state_name,reg,relative_PWE_enhancement
2005,Native,Alabama,South,0.883078495686435
2019,White,Alabama,South,0.970603037050435
2020,Asian,Alabama,South,0.944227772869487
2016,Native,Alabama,South,0.805965549657669
2016,Hispanic,Alabama,South,0.801430811774905
2000,White,Arkansas,South,1.0014584219502
2009,White,Arkansas,South,1.00769909653624
2000,Black,Arkansas,South,1.03275572711733
2001,Black,Arkansas,South,0.957651538114397
2002,Pacific,Arkansas,South,0.723481124640571
1999,Black,Arkansas,South,1.02870546385054
2001,Hispanic,Arkansas,South,0.722915965204943
2000,Native,Arkansas,South,0.83291147396705
2000,Hispanic,Arkansas,South,0.77580016106994
2013,Asian,Arkansas,South,0.893734563044738
1999,White,Arkansas,South,1.00152078675973
2000,Pacific,Arkansas,South,0.672658726967566
2019,Hispanic,Arkansas,South,0.84146925051276
2011,Native,Arkansas,South,0.731390114687284
2003,Native,Arkansas,South,0.970144488318918
2009,Asian,Arkansas,South,0.91465919127733
2006,Hispanic,Arkansas,South,0.785120382887646
2017,Black,Arkansas,South,0.992590816582231
2019,White,Arkansas,South,1.00619945560934
2018,Native,Arkansas,South,0.775161650852479
2004,Asian,Arkansas,South,0.898658574769972
2005,White,Arkansas,South,1.01010057463423
2001,Native,Arkansas,South,0.886480328366384
2014,White,Arkansas,South,1.00524862210678
2009,Pacific,Arkansas,South,0.715623042955307
2020,Native,Arkansas,South,0.856133370060252
2001,Pacific,Arkansas,South,0.660314170550797
2012,Native,Arkansas,South,0.865867732234718
2007,Black,Arkansas,South,1.02267123198659
2018,Black,Arkansas,South,0.983822649068588
2015,Hispanic,Arkansas,South,0.893992165652467
2007,Hispanic,Arkansas,South,0.746035377909763
1999,Hispanic,Arkansas,South,0.906293799015718
2010,Black,Arkansas,South,1.04213466773284
2012,Asian,Arkansas,South,0.915733273968984
2018,White,Arkansas,South,1.01341300151541
2005,Asian,Arkansas,South,0.876716763025692
2010,Native,Arkansas,South,0.793568321916496
2015,White,Arkansas,South,1.01412058579462
2007,White,Arkansas,South,1.00424393602128
2000,Asian,Arkansas,South,0.846391167649196
2010,Pacific,Arkansas,South,0.681582819652896
2005,Native,Arkansas,South,1.00371439259355
2002,White,Arkansas,South,1.0110678528434
2019,Pacific,Arkansas,South,0.701174959899769
2008,Hispanic,Arkansas,South,0.762842055822659
2003,Asian,Arkansas,South,0.893097261610103
2002,Black,Arkansas,South,0.958552254533952
2003,Black,Arkansas,South,0.99992598433519
2020,Black,Arkansas,South,0.980130150862917
2011,Hispanic,Arkansas,South,0.727252485493975
2006,Asian,Arkansas,South,0.86694048409028
2016,White,Arkansas,South,1.01591767136624
2008,White,Arkansas,South,1.00093590321118
2020,Pacific,Arkansas,South,0.766874272251273
2014,Hispanic,Arkansas,South,0.826437731989386
