year,pop_name,pw.hy
1999,TOT_POP,1.96045701889998
1999,White,1.95069215085386
1999,Black,2.32828963010317
1999,Native,1.08038811245695
1999,Asian,1.28123704255228
1999,Pacific,0.868379823227609
1999,Hispanic,1.05488623531963
2000,TOT_POP,1.69801248109836
2000,White,1.68462341699675
2000,Black,2.05533340444028
2000,Native,0.908181172682915
2000,Asian,1.10002604603906
2000,Pacific,0.74142300788962
2000,Hispanic,0.86660526130419
2001,TOT_POP,1.6741873852186
2001,White,1.66948925411348
2001,Black,1.96628815192942
2001,Native,0.876463032759596
2001,Asian,1.10997755336075
2001,Pacific,0.721893621244906
2001,Hispanic,0.828215407770416
2002,TOT_POP,1.54375573412024
2002,White,1.53096400425498
2002,Black,1.85875287015031
2002,Native,0.875207102712673
2002,Asian,1.0450744958693
2002,Pacific,0.688350856975866
2002,Hispanic,0.822957030797378
2003,TOT_POP,1.39227041193182
2003,White,1.38680906329683
2003,Black,1.63499593779837
2003,Native,0.807674735876811
2003,Asian,0.958018504031668
2003,Pacific,0.638090365445707
2003,Hispanic,0.787933045927608
2004,TOT_POP,1.37054451590198
2004,White,1.35931833025166
2004,Black,1.64480290051827
2004,Native,0.772675146334749
2004,Asian,0.967855679485133
2004,Pacific,0.637618829044143
2004,Hispanic,0.778753790771845
2005,TOT_POP,1.51572054948232
2005,White,1.50309078318475
2005,Black,1.83984149681793
2005,Native,0.881520684040222
2005,Asian,1.01315095295468
2005,Pacific,0.696578908202951
2005,Hispanic,0.843925460174794
2006,TOT_POP,1.50490836963778
2006,White,1.49119488618629
2006,Black,1.84462382415981
2006,Native,0.81152757961139
2006,Asian,1.00574987201885
2006,Pacific,0.680748193592357
2006,Hispanic,0.782204573240186
2007,TOT_POP,1.49705426355296
2007,White,1.48215549362352
2007,Black,1.84542428066273
2007,Native,0.786216919883842
2007,Asian,1.00903212430164
2007,Pacific,0.678331462485609
2007,Hispanic,0.763692030931984
2008,TOT_POP,1.10775886643508
2008,White,1.09811421663309
2008,Black,1.34044111072865
2008,Native,0.586373189130605
2008,Asian,0.796384959682673
2008,Pacific,0.518818277983913
2008,Hispanic,0.601037833439715
2009,TOT_POP,0.77610926925891
2009,White,0.776039246992595
2009,Black,0.900648139778741
2009,Native,0.442506841998161
2009,Asian,0.542998375134081
2009,Pacific,0.367451284503271
2009,Hispanic,0.432984997666913
2010,TOT_POP,0.630294768092756
2010,White,0.626159145091263
2010,Black,0.768706535207296
2010,Native,0.390751138603475
2010,Asian,0.434312598439403
2010,Pacific,0.307759270778675
2010,Hispanic,0.366693429956814
2011,TOT_POP,0.602347312501496
2011,White,0.60107989076031
2011,Black,0.718989459490857
2011,Native,0.361565863188973
2011,Asian,0.420187793187777
2011,Pacific,0.287172380871156
2011,Hispanic,0.343200969687306
2012,TOT_POP,0.385443601598471
2012,White,0.387118138587064
2012,Black,0.445155102277256
2012,Native,0.248846468742498
2012,Asian,0.266736279967449
2012,Pacific,0.188778646541236
2012,Hispanic,0.235630229893725
2013,TOT_POP,0.334659717300707
2013,White,0.335952554882891
2013,Black,0.385825800654304
2013,Native,0.223469355700438
2013,Asian,0.236312285250702
2013,Pacific,0.170750439376544
2013,Hispanic,0.215630960980527
2014,TOT_POP,0.312901816463661
2014,White,0.314582992743346
2014,Black,0.363273509416983
2014,Native,0.203153058981495
2014,Asian,0.21269210167924
2014,Pacific,0.158196752518925
2014,Hispanic,0.197670185498444
2015,TOT_POP,0.203743291669726
2015,White,0.205705011344618
2015,Black,0.229282471157701
2015,Native,0.138872532521096
2015,Asian,0.143173870128551
2015,Pacific,0.106590082490096
2015,Hispanic,0.134416750458277
2016,TOT_POP,0.131615818413617
2016,White,0.133250623616287
2016,Black,0.144206059900039
2016,Native,0.097587654979141
2016,Asian,0.0952298398474052
2016,Pacific,0.0724780341734361
2016,Hispanic,0.0927204674106643
2017,TOT_POP,0.112865286236349
2017,White,0.11401020965973
2017,Black,0.12422092057625
2017,Native,0.0895207248485338
2017,Asian,0.0830289032290934
2017,Pacific,0.0655951536161461
2017,Hispanic,0.0852345368266975
2018,TOT_POP,0.104805439662813
2018,White,0.105960923741207
2018,Black,0.1164643857736
2018,Native,0.0778591481247313
2018,Asian,0.075537549459671
2018,Pacific,0.0585820742131005
2018,Hispanic,0.0736486740230203
2019,TOT_POP,0.0748923221058263
2019,White,0.0757002609811687
2019,Black,0.0833400046976307
2019,Native,0.0532005452396624
2019,Asian,0.0548388587079034
2019,Pacific,0.042001220484908
2019,Hispanic,0.0514669223468567
2020,TOT_POP,0.0598392143893745
2020,White,0.0607696933782847
2020,Black,0.0647976722977749
2020,Native,0.0435270278563853
2020,Asian,0.0441305759869786
2020,Pacific,0.0340971074599447
2020,Hispanic,0.0421848047463369
